,PRICE,ROUNDED_NOTIONAL_AMOUNT_1,ACTION_CANCEL,ACTION_CORRECT,ACTION_NEW,TAXONOMY_Credit:Index:CDX:CDXHY,TAXONOMY_Credit:Index:CDX:CDXIG,PRICE_FORMING_CONTINUATION_DATA_Amendment,PRICE_FORMING_CONTINUATION_DATA_Novation,PRICE_FORMING_CONTINUATION_DATA_Partialtermination,PRICE_FORMING_CONTINUATION_DATA_Trade,CLEARED_C,CLEARED_U,INDICATION_OF_COLLATERALIZATION_FC,INDICATION_OF_COLLATERALIZATION_OC,INDICATION_OF_COLLATERALIZATION_PC,INDICATION_OF_COLLATERALIZATION_UC
973442,0.8025,110.0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0
973660,103.36000061035156,5.0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
973670,0.86875,25.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
973725,0.87875,25.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
973754,105.54000091552734,100.0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0
973881,1.0,110.0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
973923,0.8325,10.0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0
973963,0.8025,110.0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0
973964,0.8025,110.0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0
973999,0.8136000061035156,110.0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
974000,0.8590000152587891,110.0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
974045,0.61,50.0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0
974275,0.726875,110.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
974278,0.726875,50.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
974486,0.71,110.0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0
974536,0.53875,150.0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0
974541,0.7241024780273437,30.0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
974734,0.71,110.0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0
974760,0.73,110.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
974761,0.73,50.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
974762,0.18049999237060546,13.0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0
974766,0.18049999237060546,13.0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0
974769,0.18049999237060546,13.0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0
974770,0.18049999237060546,13.0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0
974773,105.87999725341797,5.0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
974774,0.73,25.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
974775,105.87999725341797,5.0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
974778,105.87999725341797,5.0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
974779,0.73,50.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
974781,105.87999725341797,5.0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
974782,105.87999725341797,5.0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
974783,362.9800109863281,5.0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
